
2024/03/14 (15:01:22) | ===> btop++ v.1.3.2
2024/03/14 (15:01:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/14 (15:01:22) | WARNING: NVML: Failed to get GPU power usage: No data

2024/03/15 (00:30:49) | ===> btop++ v.1.3.2
2024/03/15 (00:30:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/15 (00:31:36) | ===> btop++ v.1.3.2
2024/03/15 (00:31:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/15 (00:31:36) | WARNING: NVML: Failed to get GPU power usage: No data

2024/03/15 (00:42:57) | ===> btop++ v.1.3.2
2024/03/15 (00:42:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/15 (00:42:57) | WARNING: NVML: Failed to get GPU power usage: No data

2024/03/15 (00:52:58) | ===> btop++ v.1.3.2
2024/03/15 (00:52:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/15 (20:06:23) | ===> btop++ v.1.3.2
2024/03/15 (20:06:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/15 (22:22:12) | ===> btop++ v.1.3.2
2024/03/15 (22:22:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
